Perfil,Coord_X,Coord_Y,Lim_sup,Lim_inf,Da,CO_g
CSp-ÑVII_A3-96-0059,728347.8103,9531957.014,0,30,0.96,26.16
CSp-ÑVII_A3-96-0060,728223.9935,9531875.468,0,15,0.9,46.81
CSp-ÑVII_A3-96-0060,728223.9935,9531875.468,15,30,0.97,28.6
CSp-ÑVII_A4-88-0031,759613,9530254,0,15,0.91,51.22
CSp-ÑVII_A4-88-0032,759500,9530915,0,10,0.93,41.94
CSp-ÑVII_A4-90-0035,761382.1537,9523009.623,0,9,0.82,72.68
CSp-ÑVII_A4-90-0036,761344.8806,9523427.271,0,14,0.72,94.2
CSp-ÑVII_A4-90-0037,761865.8733,9523894.614,0,15,0.94,51.28
CSp-ÑVII_A4-90-0038,761909.1596,9524943.777,0,5,0.44,152.2
CSp-ÑVII_A4-96-0030,762274.9071,9525807.248,0,15,1.09,24.48
CSp-ÑVII_A4-96-0031,762608.8354,9525670.58,0,15,1.05,30.1
CSp-ÑVII_A4-96-0032,762653.3688,9525785.321,0,10,1,41.53
CSp-ÑVII_A4-96-0033,760606.5363,9529485.047,0,20,1.08,5.97
CSp-ÑVII_A4-96-0034,758343.9532,9532856.084,0,15,0.98,27.96
CSp-ÑVII_A4-96-0035,759715.4822,9533476.471,0,15,0.99,25.06
CSp-ÑVII_A4-96-0035,759715.4822,9533476.471,15,30,1.06,11.6
CSp-ÑVII_A4-96-0036,759808.4925,9533490.367,0,10,0.96,29.87
CSp-ÑVII_A4-96-0036,759808.4925,9533490.367,10,30,1.04,18.85
CSp-ÑVII_A4-96-0037,761506.8291,9538386.706,0,15,1.01,23.67
CSp-ÑVII_C1-85-0058,722441.4189,9502349.474,0,12,0.51,137.18
CSp-ÑVII_C1-85-0058,722441.4189,9502349.474,12,30,1.04,30.34
CSp-ÑVII_C2-97-0042,759962,9515904,0,25,1.04,31.9
CSp-ÑVII_C2-97-0044,759696,9517283,0,12,0.65,107.02
CSp-ÑVII_C2-97-0045,759684,9517794,0,8,0.09,220.59
CSp-ÑVII_C2-97-0046,759939,9519860,0,15,0.48,135.38
CSp-ÑVII_C3-91-0054,726979.4412,9489964.683,0,15,0.77,79.52
CSp-ÑVII_C3-91-0055,726834.8154,9490014.325,0,10,1.03,19.84
CSp-ÑVII_C3-91-0056,726823.8771,9490161.963,0,15,0.86,62.59
CSp-ÑVII_C3-91-0057,726804.3179,9491638.871,0,25,0.92,46.4
CSp-ÑVII_C3-91-0058,726684.0484,9491581.588,0,10,0.8,66.01
CSp-ÑVII_C3-91-0059,734362,9492618,0,25,1.03,18.91
CSp-ÑVII_C3-91-0060,734012,9492350,0,10,0.89,54.18
CSp-ÑVII_C3-91-0061,734181,9491754,0,2,1.02,29
CSp-ÑVII_C3-91-0061,734181,9491754,2,15,0.9,50.12
CSp-ÑVII_C3-91-0062,733476,9491223,0,15,1.02,29
CSp-ÑVII_C3-93-0050,725771.5098,9490835.062,0,25,1,27.26
CSp-ÑVII_C3-93-0051,724306.0881,9489749.935,0,12,0.8,60.27
CSp-ÑVII_C3-93-0052,723708.4862,9489460.201,0,19,0.72,84.11
CSp-ÑVII_C3-93-0053,723922.8201,9489471.823,0,12,0.94,35.15
CSp-ÑVII_E3-85-0042,722867.1076,9464618.525,0,8,0.6,110.32
CSp-ÑVII_E3-85-0042,722867.1076,9464618.525,8,20,1.06,26.39
CSp-ÑVII_E3-93-0035,722060.818,9458010.311,0,25,1.04,31.09
CSp-OII_C2-81-0001,885340.3309,10071627.36,0,5,0.98,23.96
CSp-OII_C2-81-0002,885270.4511,10071333,0,20,1.02,26.91
CSp-OII_C2-81-0008,880427.0662,10069882.05,0,25,0.86,61.08
CSp-OII_C2-81-0011,886613.6559,10071227.41,0,10,0.66,97.39
CSp-OII_C2-81-0011,886613.6559,10071227.41,10,30,0.93,41.88
CSp-OII_C2-81-0012,885567.9173,10071628.55,0,21,0.9,45.3
CSp-OII_C2-82-0001,877164.2469,10070001.08,0,20,0.81,70.01
CSp-OII_C2-82-0002,875796.2427,10069402.44,0,30,0.83,66.24
CSp-OII_C2-82-0003,874049.5524,10070130.34,0,20,0.73,85.03
CSp-OII_C2-82-0004,873002.4551,10069360.43,0,15,0.86,57.6
CSp-OII_C2-82-0005,873651.5919,10069981.13,0,20,0.51,123.14
CSp-OII_C2-82-0009,886124.0104,10058176.4,0,10,1.02,29
CSp-OII_C2-82-0009,886124.0104,10058176.4,10,20,1.05,20.88
CSp-OII_C2-82-0010,885714.1117,10058018.3,0,10,1.05,7.48
CSp-OII_C2-85-0002,869043.6906,10069528.97,0,25,0.15,199.3
CSp-OII_C2-85-0003,869483.8672,10069958.26,0,25,1.02,29
CSp-OII_C2-85-0006,870452.2843,10071069.78,0,28,0.86,49.88
CSp-OII_C2-86-0001,882388.2602,10069867.41,0,30,0.79,61.66
CSp-OII_C2-86-0002,881956.7091,10069850.6,0,25,0.72,89.44
CSp-OII_C2-89-0003,879033.1439,10068625.7,0,15,0.84,62.53
CSp-OII_C2-89-0004,878751.2763,10068403.88,0,25,0.89,47.85
CSp-OII_C2-89-0005,878626.8346,10068733.19,0,20,0.97,27.55
CSp-OII_C2-99-0001,877944.3016,10068539.8,0,30,0.63,100
CSp-OII_C2-99-0003,877622.6761,10068885.69,0,20,0.66,96.11
CSp-OII_C2-99-0006,887177.8519,10070822.45,0,15,0.46,149.36
CSp-OII_C2-99-0009,889203.8822,10063639.07,5,10,0.92,37.35
CSp-OII_C2-99-0009,889203.8822,10063639.07,10,25,1,28.94
CSp-OII_C2-99-0010,888910.5007,10063747.86,0,10,0.74,77.9
CSp-OII_C2-99-0010,888910.5007,10063747.86,10,20,1.1,5.05
CSp-OII_C2-99-0011,886292,10059302,10,25,0.94,39.5
CSp-OII_C4-81-0015,873304.0025,10039507.94,0,28,0.79,65.84
CSp-OII_C4-81-0016,874078.0734,10039935.73,0,26,0.79,75.75
CSp-OII_C4-81-0017,876930.733,10043399.93,0,15,0.86,57.42
CSp-OII_C4-82-0011,886371.6477,10054638.97,0,15,1.03,17.58
CSp-OII_C4-82-0012,885543.7867,10052784.37,0,30,0.88,52.44
CSp-OII_C4-82-0016,888199.7073,10040904.32,0,10,0.98,23.84
CSp-OII_C4-85-0009,882758.2014,10051262.43,0,25,0.94,36.19
CSp-OII_C4-85-0010,883119.4899,10051655.28,0,20,0.74,84.11
CSp-OII_C4-85-0011,883319.0428,10052067.59,0,8,0.81,55.57
CSp-OII_C4-85-0011,883319.0428,10052067.59,8,30,1.01,16.3
CSp-OII_C4-85-0012,884726.1106,10051751.93,0,25,0.81,64.39
CSp-OII_C4-85-0013,879423.0217,10047137.61,0,7,0.78,70.82
CSp-OII_C4-85-0014,879940.1935,10048561.41,0,30,0.75,67.34
CSp-OII_C4-85-0015,882005.1841,10049866.75,0,20,0.71,85.96
CSp-OII_C4-86-0010,880330.417,10048891.52,0,15,0.9,44.32
CSp-OII_C4-89-0021,886073.9169,10046319.49,0,25,1.06,6.21
CSp-OII_D1-86-0005,891202.4827,10069872.84,0,30,0.55,125.12
CSp-OII_D1-86-0006,890723.8517,10070294.67,0,15,1.04,18.39
CSp-OII_D1-86-0007,890664.5088,10070964.51,0,20,1.03,13.86
CSp-OII_D1-89-0018,889819.8129,10070751.71,0,30,0.59,112.12
CSp-OII_E2-82-0013,889218.2888,10036506.23,0,20,0.8,62.59
CSp-OII_F1-81-0018,894893.8665,10033925.38,0,12,0.88,52.9
CSp-OII_F1-81-0020,894482.1094,10032399.93,0,13,1.11,16.3
CSp-OII_F1-81-0025,891083.7934,10025406.8,0,20,0.87,58.7
CSp-OII_F1-81-0026,890141.5454,10023154.45,0,12,0.96,38.86
CSp-OII_F1-81-0026,890141.5454,10023154.45,12,24,1.04,19.32
CSp-OII_F1-81-0029,908813.4144,10025068.99,0,15,0.95,38.75
CSp-OII_F1-81-0030,909659.8362,10025030.73,0,13,0.98,31.15
CSp-OII_F1-81-0031,910375.0532,10024443.3,0,8,0.99,28.19
CSp-OII_F1-81-0032,909398.2818,10023705.82,0,12,0.94,37.01
CSp-OII_F1-81-0032,909398.2818,10023705.82,12,30,1.08,12.82
CSp-OII_F1-82-0021,893213.9612,10028042.82,0,25,1.07,23.43
CSp-OII_F1-82-0024,892799.6478,10026897.68,0,10,0.84,68.5
CSp-OII_F1-82-0025,908439.3522,10022472.7,0,5,1,25.99
CSp-OII_F1-82-0026,908240.2459,10022028.56,0,10,0.94,43.1
CSp-OII_F1-82-0028,905967.6313,10022557.38,0,25,1.03,22.33
CSp-OII_F1-85-0020,893627.6073,10024710.87,0,20,1,30.16
CSp-OII_F1-85-0021,893553.8027,10024926.33,0,10,1.01,31.21
CSp-OII_F1-85-0021,893553.8027,10024926.33,10,25,0.97,31.15
CSp-OII_F1-85-0022,893753.9053,10025497.27,0,12,0.91,42.98
CSp-OII_F1-85-0022,893753.9053,10025497.27,12,25,0.99,25
CSp-OII_F1-85-0023,892232.2086,10025589.49,0,10,1.07,11.02
CSp-OII_F1-86-0012,894559.1245,10033162.98,0,30,0.87,50.58
CSp-OII_F1-86-0013,893608.4189,10034669.27,0,15,0.95,35.27
CSp-OII_F1-86-0014,893533.7267,10034701.46,0,30,0.85,51.62
CSp-OII_F1-86-0020,893734.4475,10025824.33,0,30,1.13,16.65
CSp-OII_F1-86-0021,892663.3889,10026297.57,0,30,0.98,35.85
CSp-OII_F1-99-0012,893210.1315,10034767.85,0,10,1.11,4.47
CSp-OII_F1-99-0013,893154.0558,10034781,0,20,1.06,23.61
CSp-OII_F1-99-0014,892579.2814,10035154.03,0,3,1.04,12.82
CSp-OII_F1-99-0021,892535.9257,10028091.17,5,30,0.76,72.56
CSp-OII_F2-81-0033,919860.0737,10021140.26,0,16,1,35.5
CSp-OII_F2-81-0034,920318.719,10020699.59,0,18,1.03,25.17
CSp-OII_F2-81-0035,920933.8942,10019473.47,0,10,1.02,25.64
CSp-OII_F2-89-0037,936153.8133,10020556.4,0,15,1.1,14.27
CSp-OII_F2-89-0038,935219.5078,10021196.2,0,15,1.05,1.91
CSp-OII_F2-89-0039,932426,10023961,0,20,1.09,13.81
CSp-OII_F2-89-0040,945324.7893,10022724.45,0,30,1.11,14.56
CSp-OII_F2-99-0026,919177.7849,10022489.22,0,20,1.14,10.61
CSp-OII_F2-99-0027,919268.9497,10022231.92,0,15,1.14,12.24
CSp-OII_F3-81-0021,910062.7573,10006724.52,0,28,0.85,61.89
CSp-OII_F3-81-0022,910768.16,10006651.6,0,12,0.99,32.54
CSp-OII_F3-81-0036,900140.864,10014015.09,0,7,0.95,37.3
CSp-OII_F3-81-0036,900140.864,10014015.09,7,28,1.1,8.99
CSp-OII_F3-81-0037,901125.7932,10013507.07,0,8,1.07,24.19
CSp-OII_F3-81-0037,901125.7932,10013507.07,8,27,1.15,11.83
CSp-OII_F3-82-0017,912644.9238,10006484.34,0,12,1.01,25.17
CSp-OII_F3-82-0018,911680.9323,10005775.28,0,15,1.1,14.39
CSp-OII_F3-82-0027,908434.7527,10018215.81,0,15,0.9,50.7
CSp-OII_F3-82-0029,917421.7881,10005250.19,0,10,0.88,49.54
CSp-OII_F3-82-0030,917359.0766,10006622.65,0,10,0.8,62.94
CSp-OII_F3-82-0032,914168.8014,10003169.19,0,8,1.06,20.13
CSp-OII_F3-85-0016,909289.5734,10004420.32,0,7,0.91,47.04
CSp-OII_F3-85-0016,909289.5734,10004420.32,7,18,0.99,30.92
CSp-OII_F3-85-0017,901766.795,10001285.85,0,18,1.02,23.72
CSp-OII_F3-85-0018,901995.2249,10000303.79,0,5,1.04,20.82
CSp-OII_F3-85-0018,901995.2249,10000303.79,5,30,1.08,10.44
CSp-OII_F3-85-0019,902787.9645,10002828.26,0,12,1.03,25.81
CSp-OII_F3-85-0026,913684.1919,10013246.74,0,7,0.93,44.66
CSp-OII_F3-85-0027,915494.0265,10011954.25,0,30,1.09,10.09
CSp-OII_F3-85-0028,917106.9931,10009287.12,0,10,1.01,28.6
CSp-OII_F3-85-0029,917225.1921,10008640.6,0,15,1.03,27.9
CSp-OII_F3-85-0030,916929.6409,10008547.86,0,15,1.03,33.64
CSp-OII_F3-85-0031,916102.0317,10009642.24,0,15,1.06,17.92
CSp-OII_F3-85-0032,914679.2197,10009463.63,0,5,1,36.08
CSp-OII_F3-85-0032,914679.2197,10009463.63,5,25,1.12,13.4
CSp-OII_F3-85-0034,909430.6754,10001247.6,0,5,0.87,55.57
CSp-OII_F3-86-0015,913787.4297,10002604.07,0,25,1.05,17.98
CSp-OII_F3-86-0016,910818.8916,10004088.97,0,20,0.93,42.81
CSp-OII_F3-86-0017,909701.8037,10004275.77,0,15,0.94,42.23
CSp-OII_F3-86-0022,914901.3476,10011479.1,0,30,1.05,24.94
CSp-OII_F3-86-0023,916171.7606,10009118.72,0,30,1.1,11.43
CSp-OII_F3-86-0025,913485.0055,10008223,0,10,0.99,32.48
CSp-OII_F3-86-0026,906616.7187,10004992.49,0,10,0.57,118.27
CSp-OII_F3-86-0030,904596.0275,10000162.99,0,15,0.95,52.84
CSp-OII_F3-89-0025,914505.2846,10000804.78,15,30,1.05,9.74
CSp-OII_F3-89-0026,913900.4744,10002354.17,0,20,1.08,13.28
CSp-OII_F3-89-0027,913167.6842,10003523.45,0,17,0.93,40.95
CSp-OII_F3-89-0028,912613.3937,10003766.53,0,10,0.92,42.52
CSp-OII_F3-89-0029,910537.4678,10003302.57,0,25,0.99,33.58
CSp-OII_F3-89-0032,897609.6754,10016053.51,0,10,0.68,86.14
CSp-OII_F3-89-0033,901844.7925,10012631.56,0,15,1.06,27.9
CSp-OII_F3-89-0034,902828.4843,10011115.37,0,15,0.9,48.2
CSp-OII_F3-89-0035,903701.3695,10009634.42,0,10,1.04,25.35
CSp-OII_F3-89-0035,903701.3695,10009634.42,10,30,1.08,15.66
CSp-OII_F3-89-0036,906480.9406,10007642.46,0,5,0.97,38.81
CSp-OII_F3-89-0036,906480.9406,10007642.46,5,25,1.1,10.96
CSp-OII_F3-99-0017,900995.1668,10000039.08,0,20,0.94,40.2
CSp-OII_F3-99-0023,901861.2087,10013115.98,0,25,1.03,30.63
CSp-OII_F3-99-0024,901169.931,10013359.83,0,25,1.15,12.59
CSp-OII_F3-99-0025,900842,10013792,0,20,1.13,16.24
CSp-OII_F3-99-0028,909730.4765,10001131.55,8,25,0.89,35.67
CSp-OII_F3-99-0029,914475.2599,10000265.3,0,20,1.13,5.28
CSp-OII_F3-99-0030,911720.8973,10004012.15,0,20,1.03,26.22
CSp-OIII_A2-83-0009,883673.8749,9994170.894,0,30,0.8,61.72
CSp-OIII_A2-83-0010,883566.1285,9993895.462,0,30,0.78,69.32
CSp-OIII_A2-83-0012,880531.7257,9991389.336,0,15,0.75,70.53
CSp-OIII_A2-83-0013,876474.407,9984464.912,0,15,0.84,59.4
CSp-OIII_A2-86-0017,878977.341,9987382.135,0,12,0.68,107.31
CSp-OIII_A2-86-0018,878132.9641,9985845.361,0,5,0.98,18.85
CSp-OIII_A2-86-0019,877595.6766,9985886.962,0,5,0.82,54.52
CSp-OIII_A3-83-0006,857801.8666,9966368.576,0,17,0.85,62.3
CSp-OIII_A3-83-0007,856011.8668,9963395.887,0,20,0.86,54.93
CSp-OIII_A4-86-0021,863913.6286,9974396.991,0,15,0.89,44.78
CSp-OIII_A4-86-0022,863881.7392,9973714.335,0,10,0.89,46.4
CSp-OIII_A4-92-0009,863077,9968162,10,25,1.04,22.04
CSp-OIII_A4-92-0010,862335,9967796,10,30,0.97,34.74
CSp-OIII_A4-93-0016,869304.5784,9980070.092,0,20,0.8,62.82
CSp-OIII_B1-99-0015,899449.2058,9999657.684,10,30,1.04,15.72
CSp-OIII_C1-83-0001,848917.5396,9947712.851,0,17,0.73,77.9
CSp-OIII_C1-83-0002,849028.7162,9948175.75,0,20,0.78,65.84
CSp-OIII_C1-83-0003,848105.8943,9948728.76,0,10,0.84,54.18
CSp-OIII_C1-83-0004,847640.1537,9948527.764,0,20,0.82,55.16
CSp-OIII_C1-83-0005,847142.0503,9948890.675,0,20,0.76,72.85
CSp-OIII_C1-83-0008,854112.4406,9960532.088,0,22,0.77,70.19
CSp-OIII_C1-83-0017,842852.1303,9948808.394,0,18,0.76,74.25
CSp-OIII_C1-86-0002,855453.5439,9950308.055,0,10,0.74,76.39
CSp-OIII_C1-86-0010,854972.2266,9953304.876,15,25,1.06,13.28
CSp-OIII_C1-86-0043,847703.3033,9944689.842,7,20,0.98,34.22
CSp-OIII_C1-92-0005,856278,9955025,0,7,0.84,53.65
CSp-OIII_C3-83-0014,844204.2622,9942074.149,0,17,0.62,103.6
CSp-OIII_C3-83-0019,853214.2419,9931210.727,16,30,1.07,1.28
CSp-OIII_C3-83-0040,850931.4939,9934201.563,0,18,1.01,22.45
CSp-OIII_C3-86-0011,848120.7079,9936479.68,0,5,0.6,112.24
CSp-OIII_C3-86-0011,848120.7079,9936479.68,15,28,1.12,6.84
CSp-OIII_C3-86-0012,848200.2591,9936589.778,0,13,0.95,29.47
CSp-OIII_C3-86-0013,847756.9805,9937718.008,0,12,0.61,103.36
CSp-OIII_C3-86-0014,845981.3342,9937859.536,0,10,0.82,59.69
CSp-OIII_C3-86-0041,850809.8651,9934448.52,0,10,1,27.15
CSp-OIII_C3-86-0042,849787.4818,9935294.223,0,20,0.93,37.24
CSp-OIII_C3-86-0044,846994.2505,9934671.481,0,20,0.39,148.96
CSp-OIII_C3-86-0045,849891.4329,9935426.639,0,25,0.72,82.6
CSp-OIII_C3-92-0018,847178,9940517,0,20,0.92,42.87
CSp-OIII_C3-92-0021,847421,9943910,0,15,0.96,36.77
CSp-OIII_C3-92-0023,849225,9935760,0,15,0.88,51.1
CSp-OIII_C3-93-0012,843916.6565,9930395.157,0,20,0.89,48.49
CSp-OIII_E1-83-0024,856294.0786,9914955.858,0,15,0.46,138.28
CSp-OIII_E1-83-0025,856659.496,9913669.379,0,15,0.67,107.02
CSp-OIII_E1-83-0026,858708.7319,9911444.892,0,7,0.78,67
CSp-OIII_E1-83-0026,858708.7319,9911444.892,7,22,0.9,43.5
CSp-OIII_E1-83-0027,856183.1357,9921293.011,0,15,0.73,84.28
CSp-OIII_E1-83-0030,859881.7344,9919785.788,0,15,0.89,42.98
CSp-OIII_E1-83-0035,858822.6187,9910516.693,0,15,0.87,57.25
CSp-OIII_E1-83-0036,853996.2906,9908451.165,0,18,0.63,105.39
CSp-OIII_E1-83-0037,854100.1733,9908367.476,0,18,0.85,60.96
CSp-OIII_E1-83-0039,854978.406,9907785.47,0,18,0.67,93.79
CSp-OIII_E1-83-0051,856110.5922,9924497.485,0,25,0.97,30.16
CSp-OIII_E1-83-0052,855329.6717,9922031.467,0,26,0.76,71.87
CSp-OIII_E1-86-0027,858842.5244,9908351.568,0,10,0.84,59.11
CSp-OIII_E1-86-0051,858199.4829,9918971.344,0,20,0.74,77.03
CSp-OIII_E1-86-0052,858367.9233,9916562.021,0,20,0.79,69.9
CSp-OIII_E1-86-0053,857366.597,9913483.93,0,5,0.94,36.77
CSp-OIII_E1-86-0054,859888.4825,9908175.24,0,5,0.86,53.25
CSp-OIII_E1-86-0054,859888.4825,9908175.24,5,20,0.95,38.05
CSp-OIII_E1-92-0055,861284.1019,9920189.082,15,28,0.9,43.04
CSp-OIII_E2-83-0029,862313.1291,9921823.755,0,15,0.75,78.77
CSp-OIII_E2-83-0045,889112.1822,9919360.234,0,12,0.93,41.59
CSp-OIII_E2-83-0046,888273.7449,9918668.329,0,18,0.91,44.2
CSp-OIII_E2-83-0047,887424.8836,9918269.746,0,18,0.69,86.14
CSp-OIII_E2-86-0046,865876.1454,9920246.539,0,10,0.78,69.2
CSp-OIII_E2-86-0048,881293.796,9912074.24,0,20,0.96,32.19
CSp-OIII_E2-86-0049,881234.5929,9912392.89,0,10,1.05,17.69
CSp-OIII_E2-86-0050,881813.023,9912983.812,0,13,1.02,25.81
CSp-OIII_E2-92-0051,878864.2214,9921064.75,0,8,0.68,86.83
CSp-OIII_E2-93-0033,878715.7112,9921799.193,0,15,1.03,18.39
CSp-OIII_E2-93-0056,863327.9112,9923890.967,0,10,0.82,57.89
CSp-OIII_E3-83-0031,853506.6909,9892922.593,0,20,1.07,19.9
CSp-OIII_E3-83-0032,854027.8428,9891362.874,0,15,1.05,20.94
CSp-OIII_E3-83-0034,849869.6731,9893540.886,0,20,0.97,33.41
CSp-OIII_E3-83-0038,854793.9123,9907365.559,0,18,0.83,60.5
CSp-OIII_E3-83-0055,861720.8732,9894560.317,0,17,0.97,34.74
CSp-OIII_E3-83-0056,861514.5758,9895513.994,0,19,0.93,39.62
CSp-OIII_E3-83-0057,861453.9523,9895685.85,0,15,0.92,39.91
CSp-OIII_E3-86-0023,845867.8592,9895375.387,0,10,0.84,59.98
CSp-OIII_E3-86-0024,847900.6052,9895705.957,0,10,0.56,113.11
CSp-OIII_E3-86-0026,854190.2326,9892043.854,0,10,0.95,47.39
CSp-OIII_E3-86-0028,858287.7764,9906400.289,0,5,0.69,89.62
CSp-OIII_E3-86-0028,858287.7764,9906400.289,5,15,1.08,18.5
CSp-OIII_E3-86-0029,857207.9752,9906237.105,0,10,0.67,86.48
CSp-OIII_E3-86-0029,857207.9752,9906237.105,10,20,0.81,56.32
CSp-OIII_E3-86-0030,857076.7551,9903653.025,0,10,0.7,94.78
CSp-OIII_E3-86-0030,857076.7551,9903653.025,10,20,1.01,29.81
CSp-OIII_E3-86-0031,858110.9809,9902439.466,0,7,0.67,95.65
CSp-OIII_E3-86-0032,860427.7596,9892666.016,0,5,0.61,102.15
CSp-OIII_E3-86-0032,860427.7596,9892666.016,5,25,1.04,29.06
CSp-OIII_E3-86-0033,858885.5907,9894652.569,0,10,0.96,45.71
CSp-OIII_E3-86-0034,858131.0985,9896912.455,0,15,0.89,53.31
CSp-OIII_E3-86-0035,857295.9452,9898451,0,20,0.96,33.18
CSp-OIII_E3-86-0036,857448.5045,9890530.846,0,10,0.99,38.17
CSp-OIII_E3-86-0036,857448.5045,9890530.846,10,25,1.12,11.83
CSp-OIII_E3-86-0037,857359.1122,9890802.073,0,15,1.05,6.32
CSp-OIII_E3-86-0038,858307.1093,9891393.351,0,15,1.02,33.7
CSp-OIII_E3-86-0039,855760.0568,9890730.98,0,8,1.06,17.23
CSp-OIII_E3-86-0039,855760.0568,9890730.98,8,30,1.08,6.61
CSp-OIII_E3-86-0040,855137.6453,9896342.994,0,10,0.9,51.8
CSp-OIII_E3-86-0040,855137.6453,9896342.994,10,20,1.04,26.51
CSp-OIII_E3-86-0055,859078.0047,9900141.996,0,5,0.95,43.45
CSp-OIII_E3-86-0055,859078.0047,9900141.996,5,30,1.11,13.98
CSp-OIII_E3-86-0057,861451.7035,9896662.855,0,10,0.92,54.7
CSp-OIII_E3-86-0058,858867.458,9896740.515,0,10,0.58,112.76
CSp-OIII_E3-92-0026,850973.391,9896447.749,13,30,1.01,25.7
CSp-OIII_E3-92-0027,850375.2655,9894512.152,0,25,1.05,21.4
CSp-OIII_E3-92-0040,850965.2171,9890325.344,0,10,1,21.64
CSp-OIII_E3-92-0041,851497.416,9890706.424,0,15,1.02,17.98
CSp-OIII_E3-92-0043,854551.1125,9903071.103,10,30,0.91,40.66
CSp-OIII_E3-92-0047,854760.3807,9900597.826,15,30,0.94,36.02
CSp-OIII_E3-93-0032,854103.9817,9898802.202,0,10,0.99,21.81
CSp-OIII_E3-93-0046,861370.557,9902186.271,0,18,1.06,22.62
CSp-OIII_E3-93-0047,859913.7508,9900689.71,0,18,1.02,29.18
CSp-OIII_E3-93-0059,852797.0585,9891309.896,0,10,0.79,66.36
CSp-OIII_E3-93-0060,856640.3316,9892406.352,0,10,0.92,43.27
CSp-OIII_E3-93-0061,856081.4047,9892240.112,0,10,0.98,32.54
CSp-OIII_E4-81-0032,884215.2307,9889751.493,0,20,1.09,17.81
CSp-OIII_E4-81-0033,883416.9621,9889295.304,0,15,1.02,32.37
CSp-OIII_E4-81-0045,878024.9134,9890337.255,0,15,0.95,45.42
CSp-OIII_E4-83-0054,863898.6986,9894568.771,0,17,0.85,57.48
CSp-OIII_E4-86-0056,862493.543,9896262.265,0,10,0.86,68.21
CSp-OIII_E4-89-0023,888448.1246,9890499.335,0,10,1.01,29.64
CSp-OIII_E4-89-0023,888448.1246,9890499.335,10,25,1.1,11.89
CSp-OIII_E4-89-0024,888820.0124,9890926.066,0,12,1.07,16.18
CSp-OIII_E4-89-0025,887667.2517,9893473.868,0,30,1.1,6.79
CSp-OIII_E4-89-0026,889204.5317,9892447.613,0,20,1.07,18.04
CSp-OIII_E4-89-0027,889160.1558,9892405.782,0,10,1.05,25.52
CSp-OIII_E4-89-0033,887487.2932,9894016.254,0,20,1.08,13.86
CSp-OIII_E4-89-0034,887650.6665,9894435.757,0,25,1.04,18.5
CSp-OIII_E4-89-0035,887405.8106,9895009.032,0,20,1.05,12.06
CSp-OIII_E4-89-0041,889117.603,9892711.234,0,10,0.99,32.48
CSp-OIII_E4-98-0050,874528.6282,9891857.527,0,13,0.95,41.71
CSp-OIV_A1-81-0039,851659.6738,9875305.748,0,7,0.55,118.68
CSp-OIV_A1-81-0040,853708.7108,9877801.014,0,20,1.08,20.07
CSp-OIV_A1-81-0053,856580.2852,9872513.305,0,10,0.92,41.76
CSp-OIV_A1-81-0054,857173.4439,9879605.67,0,15,0.97,36.72
CSp-OIV_A1-89-0038,851066.9623,9887590.703,0,10,0.94,40.55
CSp-OIV_A1-89-0039,852754.467,9888075.796,12,30,0.87,49.54
CSp-OIV_A1-90-0032,856629.2782,9884180.554,0,10,0.89,60.15
CSp-OIV_A1-90-0032,856629.2782,9884180.554,10,27,1.17,6.9
CSp-OIV_A1-90-0033,849298.1751,9877550.081,0,12,0.95,48.38
CSp-OIV_A1-90-0034,849392.0398,9877000.966,0,15,0.87,61.89
CSp-OIV_A1-90-0035,850284.0445,9875823.818,0,10,0.87,56.61
CSp-OIV_A1-90-0036,850376.9497,9875495.106,0,20,1.02,29.06
CSp-OIV_A1-90-0037,850534.4038,9875167.662,0,10,1.09,18.33
CSp-OIV_A1-90-0040,850426.9455,9871730.252,0,20,0.92,53.36
CSp-OIV_A1-90-0041,856807.8693,9878047.159,0,10,0.93,39.62
CSp-OIV_A1-90-0042,856801.4928,9878292.388,0,10,1.08,7.42
CSp-OIV_A1-90-0042,856801.4928,9878292.388,10,25,1.1,2.67
CSp-OIV_A1-90-0043,854771.6518,9884535.932,0,8,0.87,50.7
CSp-OIV_A1-90-0044,855002.2636,9884234.581,0,15,0.97,31.9
CSp-OIV_A1-90-0045,856872.158,9885059.141,0,15,1.04,18.04
CSp-OIV_A1-90-0054,847117.2837,9880662.535,15,30,1,15.49
CSp-OIV_A1-91-0023,852942.9816,9880932.574,0,20,1.09,16.13
CSp-OIV_A1-91-0025,854392.4731,9883425.465,0,20,1.12,11.95
CSp-OIV_A1-91-0026,845222.0671,9884710.261,0,7,1.01,20.01
CSp-OIV_A1-91-0039,853367.976,9887659.911,0,9,0.93,51.68
CSp-OIV_A1-91-0040,854108.2708,9887687.547,0,10,0.94,45.59
CSp-OIV_A1-91-0041,854654.7258,9887294.398,0,9,0.99,34.4
CSp-OIV_A1-91-0042,854270.2718,9876861.586,0,15,1.04,24.65
CSp-OIV_A1-91-0043,855009.4569,9876336.899,0,7,1.01,32.13
CSp-OIV_A1-91-0044,855839.4452,9877661.686,0,12,1.03,27.49
CSp-OIV_A1-91-0045,858398.0483,9876979.238,0,15,0.98,39.04
CSp-OIV_A1-91-0046,857273.7806,9877560.748,0,15,0.96,38.11
CSp-OIV_A1-91-0052,840972.2824,9880883.117,0,9,0.89,52.78
CSp-OIV_A1-91-0053,842801.5096,9880367.44,0,7,0.91,48.72
