Perfil,Coord_X,Coord_Y,Lim_sup,Lim_inf,Da,CO_g
CG2-P058,661510,9838375,21,30,1.01,23.78
CG2-P059,658956,9836161,21,30,1.07,27.26
CG2-P060,658479,9836098,11,20,1.19,24.94
CG2-P061,661078,9834266,21,30,1.08,20.3
CG2-P062,664551,9836487,0,30,1.29,13.92
CG2-P063,583419,9782573,21,30,1.52,9.28
CG2-P064,589621,9787739,21,30,1.4,24.94
CG2-P065,587239,9787412,0,30,1.35,30.74
CG2-P066,591876,9786785,21,30,1.54,31.9
CG2-P067,593144,9785397,0,30,1.37,28.42
CG2-P068,594919,9785751,21,30,1.51,11.02
CG2-P069,592306,9781082,0,30,1.22,19.72
CG2-P070,592489,9777756,0,30,1.27,37.7
CG2-P071,593796,9775891,21,30,1.43,20.88
CG2-P073,588608,9782719,21,30,1.48,16.82
CG2-P074,586118,9781468,21,30,1.24,31.32
CG2-P075,584201,9785056,21,30,1.64,13.34
CG2-P076,596941,9791175,0,30,1.52,16.24
CG2-P079,554885,9798881,21,30,1.45,18.56
CG2-P080,554066,9798766,0,30,1.3,38.28
CG2-P081,553105,9801725,21,30,1.45,17.4
CG2-P083,553908,9801322,11,20,1.45,18.56
CG2-P084,555521,9805277,11,20,1.37,29
CG2-P085,557786,9804793,0,30,1.53,26.68
CG2-P086,551774,9806717,21,30,1.5,12.18
CG2-P087,553128,9808397,21,30,1.06,37.7
CG2-P088,557278,9809132,21,30,1.48,14.5
CG2-P089,556245,9803436,0,30,1.38,11.02
CG2-P090,558140,9812023,0,30,1.4,24.94
CG2-P091,559580,9812717,0,10,1.37,28.42
CG2-P092,657664,9896468,0,30,1,36.54
CG2-P093,656922,9892039,0,30,1.11,30.16
CG2-P095,656678,9902529,0,30,1.27,8.7
CG2-P096,652154,9895960,11,20,0.94,23.78
CG2-P097,651941,9894844,0,30,1.18,20.3
CG2-P098,651139,9899560,0,30,0.92,19.72
CG2-P099,651691,9898806,21,30,1.37,28.42
CG2-P100,652051,9898724,21,30,0.99,23.2
CG2-P101,657469,9901584,0,30,0.92,31.9
CG2-P102,650285,9895815,0,30,1.3,38.28
CG2-P103,650325,9895570,0,30,1.11,22.04
CG2-P104,651297,9892889,0,30,0.67,53.36
CG2-P105,654455,9895314,21,30,0.97,25.52
CG2-P106,655653,9894897,0,30,1.12,22.04
CG2-P107,653503,9896955,0,30,1.17,19.72
CG2-P108,589976,9806882,21,30,1.45,17.98
CG2-P109,590292,9817046,21,30,1.45,18.56
CG2-P110,592792,9815738,0,30,1.22,17.4
CG2-P111,589533,9812413,0,30,1.43,20.88
CG2-P113,589430,9812160,21,30,1.56,5.8
CG2-P114,590592,9810863,21,30,1.37,29
